area,class,grid_name,year
10434.736679341482,3,SB-23-V-D,2016
2663.8746747110968,4,SB-23-V-D,2016
354.9250715156359,12,SB-23-V-D,2016
4574.111717469421,15,SB-23-V-D,2016
59.2427193125001,18,SB-23-V-D,2016
84.96980481250004,25,SB-23-V-D,2016
0.8901678359375,33,SB-23-V-D,2016
10040.776640984368,3,SB-23-X-A,2016
2036.1929250938397,4,SB-23-X-A,2016
261.4682504843756,12,SB-23-X-A,2016
5459.264752078165,15,SB-23-X-A,2016
0.7133599765625,18,SB-23-X-A,2016
127.01737746093768,25,SB-23-X-A,2016
43.510502624999965,33,SB-23-X-A,2016
7297.932864156268,3,SB-23-V-B,2016
3.385736171875,4,SB-23-V-B,2016
6.955940335937498,12,SB-23-V-B,2016
10919.719959641288,15,SB-23-V-B,2016
106.31883974999994,18,SB-23-V-B,2016
30.752107078124972,25,SB-23-V-B,2016
11.589289703125,33,SB-23-V-B,2016
6931.012409125823,3,SA-23-Y-D,2016
6.245720812499999,4,SA-23-Y-D,2016
317.6564356015644,12,SA-23-Y-D,2016
10675.05091454655,15,SA-23-Y-D,2016
3.3016658828125003,18,SA-23-Y-D,2016
63.530538375000056,25,SA-23-Y-D,2016
385.9702938046887,33,SA-23-Y-D,2016
9856.621940547571,3,SA-23-Z-C,2016
1998.3367766249462,4,SA-23-Z-C,2016
627.9837674218713,12,SA-23-Z-C,2016
3592.303620203082,15,SA-23-Z-C,2016
39.53991892968749,18,SA-23-Z-C,2016
66.39477166406262,25,SA-23-Z-C,2016
671.5759645234422,33,SA-23-Z-C,2016
3823.9682738984725,3,SA-23-Z-B,2016
2039.402097398331,4,SA-23-Z-B,2016
604.5260216093783,12,SA-23-Z-B,2016
42.86097496093758,15,SA-23-Z-B,2016
0.1785856484375,18,SA-23-Z-B,2016
1194.0726749453347,25,SA-23-Z-B,2016
425.5462702656202,33,SA-23-Z-B,2016
2060.5341927812274,3,SA-23-X-C,2016
26.988572937499935,4,SA-23-X-C,2016
