tile,year,label,area
220062,2023,0,167.90134012451165
220062,2023,3,1829533.2267986028
220062,2023,4,549215.2559711467
220062,2023,12,138824.31687719293
220062,2023,15,477631.8496212429
220062,2023,18,77658.48382638546
220062,2023,25,161936.42114494473
220062,2023,33,250242.45600748245
220063,2023,3,2476936.6837154245
220063,2023,4,302467.8997213333
220063,2023,12,143377.4519094376
220063,2023,15,1511317.40786272
220063,2023,18,76415.64630468457
220063,2023,25,22410.782029140275
220063,2023,33,28979.733676947333
220064,2023,3,1306094.6316884998
220064,2023,4,1448471.6523558903
220064,2023,12,61359.947810881815
220064,2023,15,1639765.2473476783
220064,2023,18,61347.92923338778
220064,2023,25,17545.34492204149
220064,2023,33,18048.78463259376
220065,2023,0,0.7985042846679689
220065,2023,3,178607.9358643936
220065,2023,4,3133010.181861559
220065,2023,12,111074.95229075894
220065,2023,15,576940.1832758539
220065,2023,18,474614.20197829243
220065,2023,25,30451.167577191834
220065,2023,33,36334.09293245543
220066,2023,3,303873.6480457054
220066,2023,4,2862298.450253355
220066,2023,12,63129.558068753715
220066,2023,15,426326.62302005
220066,2023,18,838075.4466289666
220066,2023,25,29748.21260123484
220066,2023,33,3338.7348309306853
220067,2023,3,163445.2094305959
220067,2023,4,2921380.0537064727
220067,2023,12,280125.2661882497
220067,2023,15,641629.9407200915
220067,2023,18,499220.0955147782
220067,2023,25,77108.83557476384
220067,2023,33,7155.294500424045
220068,2023,3,91811.71693495779
220068,2023,4,2232083.995468314
220068,2023,12,347130.17832071264
220068,2023,15,665325.9817175751
220068,2023,18,1196750.4422135123
220068,2023,25,33156.80736899384
220068,2023,33,3438.851730995265
220069,2023,3,84666.95891125605
220069,2023,4,1802596.2314055078
220069,2023,12,439279.0630271321
220069,2023,15,966561.1692912866
220069,2023,18,1194573.5237430495
220069,2023,25,57394.79201899155
220069,2023,33,2022.6754464462242
221062,2023,0,9.290311901855468
221062,2023,3,1559875.7590574857
221062,2023,4,8078.935961677609
221062,2023,12,498454.0858990892
221062,2023,15,1926902.8565993172
221062,2023,18,2264.4000230450793
221062,2023,25,48525.83624997344
221062,2023,33,346740.23815545766
221063,2023,3,1376714.689261679
221063,2023,4,8967.11776201827
221063,2023,12,209025.9414463181
221063,2023,15,2847007.767696111
221063,2023,18,44679.48569566027
221063,2023,25,15236.237371706651
221063,2023,33,60302.86485501658
221064,2023,3,1688697.4695215924
221064,2023,4,1172662.506269431
221064,2023,12,240132.70659936967
221064,2023,15,1379919.9181485365
221064,2023,18,52799.76668269195
221064,2023,25,17281.873082251688
221064,2023,33,1156.0350872816862
221065,2023,3,386483.0511761288
221065,2023,4,2340230.494382887
221065,2023,12,304924.7134462699
221065,2023,15,938588.2088771322
221065,2023,18,540489.8185921556
221065,2023,25,26607.84848168629
221065,2023,33,3669.6828716839773
221066,2023,0,0.6174579345703125
221066,2023,3,520830.1872524088
221066,2023,4,2531598.6360531575
221066,2023,12,363789.57847082976
221066,2023,15,372658.8787181325
221066,2023,18,718665.6842496329
221066,2023,25,16023.400069367543
221066,2023,33,3846.4005888501742
221067,2023,0,0.6174579345703125
221067,2023,3,238652.55510760192
221067,2023,4,1940660.755425674
221067,2023,12,1864208.0836593457
221067,2023,15,249227.80410656385
221067,2023,18,283458.27693003975
221067,2023,25,11651.148318180154
221067,2023,33,2194.252379362554
221068,2023,0,8.599847485351566
221068,2023,3,290433.10595144954
221068,2023,4,1839797.2210412542
221068,2023,12,913823.4170183451
221068,2023,15,880446.9811189915
221068,2023,18,608476.8253022742
221068,2023,25,26684.289754448895
221068,2023,33,10066.081995214014
221069,2023,3,247942.8637802864
221069,2023,4,2358120.0867183935
221069,2023,12,133171.3188692732
221069,2023,15,1678072.8358580417
221069,2023,18,34262.522811151175
221069,2023,25,42179.61828075595
221069,2023,33,53374.080154018775
222063,2023,3,2283096.8399281544
222063,2023,4,3451.664727463973
222063,2023,12,1794.0413213197473
222063,2023,15,1964741.7473776245
222063,2023,18,297702.62130418245
222063,2023,25,6917.991245901905
222063,2023,33,3529.0051511692777
222064,2023,3,1339523.337519892
222064,2023,4,812986.9901572417
222064,2023,12,29961.866429830632
222064,2023,15,2235726.38165073
222064,2023,18,73903.34706446975
222064,2023,25,28581.234247837423
222064,2023,33,32586.06231549851
222065,2023,3,734918.9575560031
222065,2023,4,1621646.8618615714
222065,2023,12,205796.95420605916
222065,2023,15,1707578.9345073304
222065,2023,18,162106.06711607173
222065,2023,25,50899.467282807476
222065,2023,33,58054.62545562755
222066,2023,3,627935.2473869537
222066,2023,4,1942567.5361188916
222066,2023,12,253234.10103054307
222066,2023,15,1387075.8750385025
222066,2023,18,248485.1537474462
222066,2023,25,49770.53519521595
222066,2023,33,17674.89944553671
222067,2023,3,561410.0955916336
222067,2023,4,1926073.358957006
222067,2023,12,262082.54633656965
222067,2023,15,1407952.151900798
222067,2023,18,297712.4294546751
222067,2023,25,58862.389064133284
222067,2023,33,75346.72894916552
222068,2023,3,431773.4426863794
222068,2023,4,1910758.0910986878
222068,2023,12,69857.34302185418
222068,2023,15,1673912.4956229187
222068,2023,18,383550.08515530726
222068,2023,25,48611.037035605514
222068,2023,33,51248.29602483609
222069,2023,3,381660.02112792316
222069,2023,4,1733907.7436345196
222069,2023,12,45185.9177487506
222069,2023,15,2066023.8982870453
222069,2023,18,199852.91090460267
222069,2023,25,47460.60900456852
222069,2023,33,72384.80974634293
223063,2023,3,2126491.1675576908
223063,2023,4,1822.501079184621
223063,2023,12,17401.738302716094
223063,2023,15,2095861.1290083725
223063,2023,18,214045.73951459443
223063,2023,25,5811.139881272047
223063,2023,33,100478.74699512045
